time,EAR
3,-1.4636569681321716
4,-1.3581351831861574
5,-1.3273291093998671
6,-1.1752097968679065
7,-0.9858079381759116
8,-0.9018353659594888
9,-0.6223452920011425
10,-0.5546888582949008
11,-0.3995564580392561
12,-0.4068894018415193
13,-0.37010755585081456
14,-0.3901258238039719
15,-0.42814649516175374
16,-0.40832256438484577
17,-0.3470511152780754
18,-0.5664578107810053
19,-0.5427520091367984
20,-0.44869403019799203
21,-0.45224844069138215
22,-0.33635680058763956
23,-0.3216161892866531
24,-0.24446882783033558
25,-0.19963442768790698
26,-0.1003558094243362
27,-0.08626761646340389
28,0.0895408335224541
29,0.20944604468782496
30,0.26075860226528536
31,0.35303822476626984
32,0.54584379773188
33,0.5324412438342897
34,0.5210895782514158
35,0.5329878791297404
36,0.47513455508760943
37,0.4522184923124256
38,0.6312765809841185
39,0.7826784225500145
40,0.7892229759095395
41,0.8173864358210501
42,0.7198376295892619
43,0.6809903419536615
44,0.6088636348885871
0,0.5307699910489496
1,0.4507741616848835
2,0.40506676072186837
3,0.4781877693350473
4,0.40807667462448544
5,0.45828660710228175
6,0.48771038244170406
7,0.3425304479462177
8,0.34003162005393894
9,0.3758591804122456
10,0.43872982166446
11,0.46729817651854944
12,0.34894206373422165
13,0.40983285026744976
14,0.4805057682297771
15,0.4311081905697625
16,0.5125227942191456
17,0.46801181823130406
18,0.478929736280325
19,0.4689815987604986
20,0.4384812456367963
21,0.3616451975831743
22,0.32759339277649685
23,0.38107658317826176
24,0.39886577387162936
25,0.3965104276889244
26,0.2905653080169025
27,0.21961156764425882
28,0.22007990536512625
29,0.22775715308235495
30,0.3693416622228762
31,0.40769801359321967
32,-0.42542127666783325
33,-1.070721440125972
34,-1.2554268491127412
35,-1.2297059183579724
36,-1.2647463858167576
37,-1.2904586772509306
38,-1.3838799053259732
39,-1.3653339286580053
40,-1.3837463425702838
41,-1.2129964713322687
42,-1.0796435917507972
43,-1.0163779260262482
44,-0.904271277059616
0,-1.0000653406114195
1,-0.9045851196403734
2,-0.9031736447150019
3,-0.8467138146348052
4,-0.7337640536957812
5,-0.6642479069636197
6,-0.6892847849143114
7,-0.7629073683627181
8,-0.7714899277452509
9,-0.869974473883733
10,-0.8609017318190018
11,-0.7601865674395842
12,-0.7846549833712831
13,-0.7264239919496764
14,-0.8520653899996864
15,-0.7735282552741386
16,-0.7161814751579374
17,-0.6205456825810969
18,-0.5648954811836618
19,-0.5223837026214864
20,-0.41317908399515735
21,-0.3969615952579844
22,-0.1859055462908007
23,-0.0018292956034461905
24,0.1781139698960836
25,0.573377669106817
26,0.7670262005663264
27,0.9999263357551706
28,1.247609948405448
29,1.3852021053066974
30,1.3232850371627751
31,1.5227189372398748
32,1.6347810162817402
33,1.5168271645559959
34,1.4766677369720747
35,1.3374497957219862
36,1.2065006473587119
37,1.1448990111185355
38,0.9814270852391752
39,0.8271158240453207
40,0.6722054367335908
41,0.4462494713406885
42,0.21730029482492522
43,0.21809876773502193
44,0.1180849584214143
0,0.019353576337858516
1,-0.08487730748744934
2,-0.09742116813855611
3,-0.0994189919748278
4,-0.15219034407030074
5,-0.08833186591667325
6,-0.17556233628467655
7,-0.24739313968401294
8,-0.2940612066075763
9,-0.24364720340454382
10,-0.36613118476044587
11,-0.3818259842837141
12,-0.48385399462594114
13,-0.5074850772836217
14,-0.5276606664208339
15,-0.4608981252597076
16,-0.679960146202482
17,-0.9399382439582873
18,-1.0604576732429039
19,-1.0030099194432343
20,-1.308503480397235
21,-1.2472642235627913
22,-1.3150276375576813
23,-1.4074931577967817
24,-1.4341993384218468
25,-1.3679443156419298
26,-1.1324752833940952
27,-1.0363689747072626
28,-0.9808041171249191
29,-0.8302557506127815
30,-0.6279447862537086
31,-0.42219427806384346
32,-0.29852195697070344
33,-0.20045166272943682
34,-0.09231300806303822
35,0.0046803994649669695
36,0.10104880961268473
37,0.22185152552990278
38,0.20172366601123884
39,0.16193899515663876
40,0.09313537629958198
41,0.2897839654671408
42,0.224604861221976
43,0.3813322506052704
44,0.29530588295574
0,0.07528430317624954
1,-0.09967332582123861
2,-0.293020749736675
3,-0.31193141003183067
4,-0.26125426664033646
5,-0.2727283173259666
6,-0.08124961012352885
7,-0.18228227652200002
8,-0.1375727398639428
9,-0.10602460330761711
10,-0.09281145303116423
11,-0.03926258489932318
12,0.06399304557689853
13,0.10977980084518213
14,0.08077866951007366
15,0.026735335959252496
16,0.03956567916438049
17,0.14080636693815773
18,0.2115150980379326
19,0.6587838285905852
20,1.0506250792505756
21,1.8282947312986335
22,2.840814266302977
23,3.2063479394000156
24,3.2895559282531357
25,3.3445496392245597
26,3.23923596574621
27,3.3602865798611536
28,3.3876873962049108
29,3.4946564624031393
30,3.6026654764003827
31,3.5797538923751833
32,3.2958931970546725
33,3.186814543092178
34,2.8699414996706376
35,2.6690297690988953
36,2.360491016425817
37,1.8690994843885336
38,1.725746532335418
39,1.5686949649640651
40,1.4800656922933728
41,1.3228417164131752
42,1.1646910761387728
43,0.9430001750922541
44,0.8006417855748509
0,0.46151893420972584
1,0.482630378094723
2,0.5966180833797518
3,0.6928171973380725
4,0.8066121990162066
5,0.8961549179680791
6,0.7934974734925527
7,0.6339876566956824
8,0.5835818042607821
9,0.8857293219050301
10,0.8720695379093008
11,1.1872433690318753
12,1.3522960215316084
13,1.6588375037390084
14,1.661014055064578
15,1.7516788425638268
16,1.6634142794872393
17,1.7797820930701775
18,1.7916993392673966
19,1.8823862611958653
20,1.9542876611595144
21,1.916802714869076
22,1.883970380996692
23,1.7875370272979192
24,1.5794221968378146
25,1.4933066815592209
